node_id,type,name,source,label
DB01060,drug,Amoxicillin,DrugBank,Drug
DB01062,drug,Oxybutynin,DrugBank,Drug
DB01067,drug,Glipizide,DrugBank,Drug
DB01068,drug,Clonazepam,DrugBank,Drug
DB01069,drug,Promethazine,DrugBank,Drug
DB01072,drug,Atazanavir,DrugBank,Drug
DB01076,drug,Atorvastatin,DrugBank,Drug
DB01098,drug,Rosuvastatin,DrugBank,Drug
DB01104,drug,Sertraline,DrugBank,Drug
DB01110,drug,Miconazole,DrugBank,Drug
DB01115,drug,Nifedipine,DrugBank,Drug
DB01118,drug,Amiodarone,DrugBank,Drug
DB01120,drug,Gliclazide,DrugBank,Drug
DB01124,drug,Tolbutamide,DrugBank,Drug
DB01126,drug,Dutasteride,DrugBank,Drug
DB01132,drug,Pioglitazone,DrugBank,Drug
DB01133,drug,Tiludronic acid,DrugBank,Drug
DB01136,drug,Carvedilol,DrugBank,Drug
DB01137,drug,Levofloxacin,DrugBank,Drug
DB01142,drug,Doxepin,DrugBank,Drug
DB01147,drug,Cloxacillin,DrugBank,Drug
DB01159,drug,Halothane,DrugBank,Drug
DB01169,drug,Arsenic trioxide,DrugBank,Drug
DB01183,drug,Naloxone,DrugBank,Drug
DB01189,drug,Desflurane,DrugBank,Drug
DB01195,drug,Flecainide,DrugBank,Drug
DB01197,drug,Captopril,DrugBank,Drug
DB01212,drug,Ceftriaxone,DrugBank,Drug
DB01232,drug,Saquinavir,DrugBank,Drug
DB01234,drug,Dexamethasone,DrugBank,Drug
DB01235,drug,Levodopa,DrugBank,Drug
DB01236,drug,Sevoflurane,DrugBank,Drug
DB01238,drug,Aripiprazole,DrugBank,Drug
DB01241,drug,Gemfibrozil,DrugBank,Drug
DB01242,drug,Clomipramine,DrugBank,Drug
DB01264,drug,Darunavir,DrugBank,Drug
DB01275,drug,Hydralazine,DrugBank,Drug
DB01276,drug,Exenatide,DrugBank,Drug
DB01307,drug,Insulin detemir,DrugBank,Drug
DB01320,drug,Fosphenytoin,DrugBank,Drug
DB01324,drug,Polythiazide,DrugBank,Drug
DB01327,drug,Cefazolin,DrugBank,Drug
DB01328,drug,Cefonicid,DrugBank,Drug
DB01329,drug,Cefoperazone,DrugBank,Drug
DB01330,drug,Cefotetan,DrugBank,Drug
DB01364,drug,Ephedrine,DrugBank,Drug
DB01370,drug,Aluminium,DrugBank,Drug
DB01394,drug,Colchicine,DrugBank,Drug
DB01396,drug,Digitoxin,DrugBank,Drug
DB01397,drug,Magnesium salicylate,DrugBank,Drug
DB01418,drug,Acenocoumarol,DrugBank,Drug
DB01420,drug,Testosterone propionate,DrugBank,Drug
DB01581,drug,Sulfamerazine,DrugBank,Drug
DB01582,drug,Sulfamethazine,DrugBank,Drug
DB01587,drug,Ketazolam,DrugBank,Drug
DB01601,drug,Lopinavir,DrugBank,Drug
DB01611,drug,Hydroxychloroquine,DrugBank,Drug
DB01614,drug,Acepromazine,DrugBank,Drug
DB01621,drug,Pipotiazine,DrugBank,Drug
DB01622,drug,Thioproperazine,DrugBank,Drug
DB01623,drug,Thiothixene,DrugBank,Drug
DB01685,drug,Topiroxostat,DrugBank,Drug
DB01914,drug,D-glucose,DrugBank,Drug
DB03017,drug,Lauric acid,DrugBank,Drug
DB03193,drug,Stearic acid,DrugBank,Drug
DB03585,drug,Oxyphenbutazone,DrugBank,Drug
DB03600,drug,Capric acid,DrugBank,Drug
DB03796,drug,Palmitic Acid,DrugBank,Drug
DB04216,drug,Quercetin,DrugBank,Drug
DB04224,drug,Oleic Acid,DrugBank,Drug
DB04539,drug,Glyphosate,DrugBank,Drug
DB04557,drug,Arachidonic Acid,DrugBank,Drug
DB04574,drug,Estrone sulfate,DrugBank,Drug
DB04690,drug,Camptothecin,DrugBank,Drug
DB04711,drug,Iodipamide,DrugBank,Drug
DB04816,drug,Dantron,DrugBank,Drug
DB04828,drug,Zomepirac,DrugBank,Drug
DB04855,drug,Dronedarone,DrugBank,Drug
DB04861,drug,Nebivolol,DrugBank,Drug
DB04911,drug,Oritavancin,DrugBank,Drug
DB04951,drug,Pirfenidone,DrugBank,Drug
DB05134,drug,Tanespimycin,DrugBank,Drug
DB05294,drug,Vandetanib,DrugBank,Drug
DB05382,drug,Iodine,DrugBank,Drug
DB05521,drug,Telaprevir,DrugBank,Drug
DB05812,drug,Abiraterone,DrugBank,Drug
DB06119,drug,Cenobamate,DrugBank,Drug
DB06201,drug,Rufinamide,DrugBank,Drug
DB06209,drug,Prasugrel,DrugBank,Drug
DB06216,drug,Asenapine,DrugBank,Drug
DB06282,drug,Levocetirizine,DrugBank,Drug
DB06290,drug,Simeprevir,DrugBank,Drug
DB06412,drug,Oxymetholone,DrugBank,Drug
DB06480,drug,Prucalopride,DrugBank,Drug
DB06655,drug,Liraglutide,DrugBank,Drug
DB06705,drug,Gadofosveset trisodium,DrugBank,Drug
DB06710,drug,Methyltestosterone,DrugBank,Drug
DB06716,drug,Fospropofol,DrugBank,Drug
DB06796,drug,Mangafodipir,DrugBank,Drug
DB07402,drug,Azapropazone,DrugBank,Drug
DB07517,drug,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,DrugBank,Drug
DB07565,drug,Chloramphenicol succinate,DrugBank,Drug
DB07992,drug,Indoxyl sulfate,DrugBank,Drug
DB08231,drug,Myristic acid,DrugBank,Drug
DB08496,drug,(R)-warfarin,DrugBank,Drug
DB08735,drug,"R,S-Warfarin alcohol",DrugBank,Drug
DB08736,drug,"S,R-Warfarin alcohol",DrugBank,Drug
DB08814,drug,Triflusal,DrugBank,Drug
DB08816,drug,Ticagrelor,DrugBank,Drug
DB08820,drug,Ivacaftor,DrugBank,Drug
DB08828,drug,Vismodegib,DrugBank,Drug
DB08860,drug,Pitavastatin,DrugBank,Drug
DB08864,drug,Rilpivirine,DrugBank,Drug
DB08867,drug,Ulipristal,DrugBank,Drug
DB08881,drug,Vemurafenib,DrugBank,Drug
DB08893,drug,Mirabegron,DrugBank,Drug
DB08895,drug,Tofacitinib,DrugBank,Drug
DB08899,drug,Enzalutamide,DrugBank,Drug
DB08931,drug,Riociguat,DrugBank,Drug
DB08932,drug,Macitentan,DrugBank,Drug
DB09053,drug,Ibrutinib,DrugBank,Drug
DB09073,drug,Palbociclib,DrugBank,Drug
DB09079,drug,Nintedanib,DrugBank,Drug
DB09087,drug,Potassium alum,DrugBank,Drug
DB09093,drug,Chlortetracycline,DrugBank,Drug
DB09139,drug,Technetium Tc-99m oxidronate,DrugBank,Drug
DB09195,drug,Lorpiprazole,DrugBank,Drug
DB09204,drug,Arotinolol,DrugBank,Drug
DB09213,drug,Dexibuprofen,DrugBank,Drug
DB09223,drug,Blonanserin,DrugBank,Drug
DB09229,drug,Aranidipine,DrugBank,Drug
DB09236,drug,Lacidipine,DrugBank,Drug
DB09237,drug,Levamlodipine,DrugBank,Drug
DB09241,drug,Methylene blue,DrugBank,Drug
DB09262,drug,Imidafenacin,DrugBank,Drug
DB09274,drug,Artesunate,DrugBank,Drug
DB09280,drug,Lumacaftor,DrugBank,Drug
DB09299,drug,Tenofovir alafenamide,DrugBank,Drug
DB09333,drug,Iopodic acid,DrugBank,Drug
DB09347,drug,Acetrizoic acid,DrugBank,Drug
DB09348,drug,Propiolactone,DrugBank,Drug
DB09383,drug,Meprednisone,DrugBank,Drug
DB09418,drug,Potassium perchlorate,DrugBank,Drug
DB09526,drug,Hydroquinone,DrugBank,Drug
DB09564,drug,Insulin degludec,DrugBank,Drug
DB11093,drug,Calcium citrate,DrugBank,Drug
DB11130,drug,Opium,DrugBank,Drug
DB11134,drug,Cupric oxide,DrugBank,Drug
DB11148,drug,Butamben,DrugBank,Drug
DB11217,drug,Arbutin,DrugBank,Drug
DB11348,drug,Calcium Phosphate,DrugBank,Drug
DB11397,drug,Dichlorvos,DrugBank,Drug
DB11575,drug,Grazoprevir,DrugBank,Drug
DB11590,drug,Thimerosal,DrugBank,Drug
DB11637,drug,Delamanid,DrugBank,Drug
DB11641,drug,Vinflunine,DrugBank,Drug
DB11642,drug,Pitolisant,DrugBank,Drug
DB11677,drug,Triheptanoin,DrugBank,Drug
DB11689,drug,Selumetinib,DrugBank,Drug
DB11703,drug,Acalabrutinib,DrugBank,Drug
DB11753,drug,Rifamycin,DrugBank,Drug
DB11757,drug,Istradefylline,DrugBank,Drug
DB11796,drug,Fostemsavir,DrugBank,Drug
DB11820,drug,Nifurtimox,DrugBank,Drug
DB11827,drug,Ertugliflozin,DrugBank,Drug
DB11828,drug,Neratinib,DrugBank,Drug
DB11853,drug,Relugolix,DrugBank,Drug
DB11855,drug,Revefenacin,DrugBank,Drug
DB11943,drug,Delafloxacin,DrugBank,Drug
DB11963,drug,Dacomitinib,DrugBank,Drug
DB11978,drug,Glasdegib,DrugBank,Drug
DB12001,drug,Abemaciclib,DrugBank,Drug
DB12141,drug,Gilteritinib,DrugBank,Drug
DB12404,drug,Remimazolam,DrugBank,Drug
DB12455,drug,Omadacycline,DrugBank,Drug
